,version,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
140,V1,d09142021,CDRCj,reward_learning,3.0,68.0,31.0,-1.0,0.0,449.0,-0.5330381419787621,-1.0,332.0,-1.2360332418882036,1
141,V1,d09142021,CDRCj,reward_learning,3.0,69.0,53.0,-1.0,0.0,362.0,-1.058360816830078,-1.0,406.0,-0.8605722890500993,1
142,V1,d09142021,CDRCj,reward_learning,3.0,70.0,44.0,1.0,150.0,520.0,-0.10432653376676866,1.0,460.0,-0.5865872694114826,1
143,V1,d09142021,CDRCj,reward_learning,3.0,71.0,5.0,1.0,144.0,405.0,-0.7987185752368988,1.0,532.0,-0.2212739098933271,1
144,V1,d09172021,S5lJ6,reward_learning,1.0,0.0,43.0,-1.0,0.0,385.0,-0.38814505214554956,-1.0,842.0,2.2420046326770007,1
145,V1,d09172021,S5lJ6,reward_learning,1.0,1.0,6.0,1.0,159.0,816.0,0.834689187263658,1.0,706.0,1.3994459374370103,1
146,V1,d09172021,S5lJ6,reward_learning,1.0,2.0,6.0,1.0,159.0,1048.0,1.4929201467600297,1.0,868.0,2.40308203029641,1
147,V1,d09172021,S5lJ6,reward_learning,1.0,3.0,43.0,-1.0,0.0,548.0,0.07431894094888394,-1.0,654.0,1.0772911421981903,1
148,V1,d09172021,S5lJ6,reward_learning,1.0,4.0,53.0,1.0,150.0,2334.0,5.141562448106296,1.0,625.0,0.8976278910073101,1
149,V1,d09172021,S5lJ6,reward_learning,1.0,5.0,64.0,-1.0,0.0,766.0,0.6928290666825434,-1.0,666.0,1.151634556484072,1
150,V1,d09172021,S5lJ6,reward_learning,1.0,6.0,23.0,-1.0,0.0,564.0,0.1197141795348406,-1.0,679.0,1.2321732552937767,1
151,V1,d09172021,S5lJ6,reward_learning,1.0,7.0,30.0,1.0,143.0,816.0,0.834689187263658,1.0,711.0,1.4304223600561274,1
152,V1,d09172021,S5lJ6,reward_learning,1.0,8.0,30.0,1.0,143.0,465.0,-0.16116885921576624,1.0,431.0,-0.3042573066144408,1
153,V1,d09172021,S5lJ6,reward_learning,1.0,9.0,57.0,1.0,159.0,488.0,-0.09591320374845354,1.0,570.0,0.5568872421970199,1
154,V1,d09172021,S5lJ6,reward_learning,1.0,10.0,63.0,-1.0,0.0,439.0,-0.2349361219179458,-1.0,571.0,0.5630825267208434,1
155,V1,d09172021,S5lJ6,reward_learning,1.0,11.0,38.0,1.0,151.0,324.0,-0.5612143992545093,1.0,703.0,1.3808600838655398,1
156,V1,d09172021,S5lJ6,reward_learning,1.0,12.0,38.0,1.0,151.0,641.0,0.33817876522975704,1.0,395.0,-0.5272875494720852,1
157,V1,d09172021,S5lJ6,reward_learning,1.0,13.0,66.0,-1.0,0.0,672.0,0.42613203999004806,-1.0,538.0,0.3586381374346692,1
158,V1,d09172021,S5lJ6,reward_learning,1.0,14.0,64.0,-1.0,0.0,387.0,-0.38247064732230496,-1.0,516.0,0.22234187791055315,1
159,V1,d09172021,S5lJ6,reward_learning,1.0,15.0,12.0,1.0,159.0,422.0,-0.2831685629155248,1.0,491.0,0.0674597648149667,1
160,V1,d09172021,S5lJ6,reward_learning,1.0,16.0,57.0,1.0,159.0,430.0,-0.2604709436225464,1.0,468.0,-0.07503177923297284,1
161,V1,d09172021,S5lJ6,reward_learning,1.0,17.0,66.0,-1.0,0.0,381.0,-0.3994938617920387,-1.0,507.0,0.16658431719614203,1
162,V1,d09172021,S5lJ6,reward_learning,1.0,18.0,50.0,-1.0,0.0,605.0,0.23603947841135456,-1.0,578.0,0.6064495183876075,1
163,V1,d09172021,S5lJ6,reward_learning,1.0,19.0,63.0,-1.0,0.0,233.0,-0.8193998187121379,-1.0,519.0,0.24092773148202354,1
164,V1,d09172021,S5lJ6,reward_learning,1.0,20.0,50.0,-1.0,0.0,184.0,-0.95842273688163,-1.0,551.0,0.4391768362443742,1
165,V1,d09172021,S5lJ6,reward_learning,1.0,21.0,23.0,-1.0,0.0,262.0,-0.7371209487750914,-1.0,611.0,0.8108939076737817,1
166,V1,d09172021,S5lJ6,reward_learning,1.0,22.0,12.0,1.0,159.0,378.0,-0.4080054690269056,1.0,546.0,0.4082004136252569,1
167,V1,d09172021,S5lJ6,reward_learning,1.0,23.0,53.0,1.0,150.0,453.0,-0.19521528815523373,1.0,331.0,-0.9237857589967866,1
168,V1,d09172021,S5lJ6,reward_learning,2.0,24.0,43.0,-1.0,0.0,1067.0,1.546826992580853,-1.0,439.0,-0.2546950304238531,1
169,V1,d09172021,S5lJ6,reward_learning,2.0,25.0,63.0,-1.0,0.0,1102.0,1.6461290769876333,-1.0,508.0,0.17277960171996548,1
170,V1,d09172021,S5lJ6,reward_learning,2.0,26.0,66.0,-1.0,0.0,1051.0,1.5014317539948965,-1.0,911.0,2.669479264820819,1
171,V1,d09172021,S5lJ6,reward_learning,2.0,27.0,50.0,-1.0,0.0,369.0,-0.4335402907315062,-1.0,520.0,0.247123016005847,1
172,V1,d09172021,S5lJ6,reward_learning,2.0,28.0,53.0,1.0,150.0,371.0,-0.42786588590826163,1.0,927.0,2.768603817201994,1
173,V1,d09172021,S5lJ6,reward_learning,2.0,29.0,66.0,-1.0,0.0,375.0,-0.4165170762617725,-1.0,550.0,0.43298155172055075,1
174,V1,d09172021,S5lJ6,reward_learning,2.0,30.0,63.0,-1.0,0.0,303.0,-0.6207956498985774,-1.0,458.0,-0.1369846244712074,1
175,V1,d09172021,S5lJ6,reward_learning,2.0,31.0,64.0,-1.0,0.0,251.0,-0.7683301753029366,-1.0,457.0,-0.14317990899503089,1
176,V1,d09172021,S5lJ6,reward_learning,2.0,32.0,57.0,1.0,159.0,245.0,-0.7853533897726703,1.0,613.0,0.8232844767214286,1
