,version,group,PID,phase,condition,trial,old_pair,stimulus_left,stimulus_right,old_response,rt_pairs,chosen_object,left_object_chosen,rt_object,pairs_acc,zscored_rt_pairs,zscored_rt_object
88,V1,d09172021,IDAjV,memory_test,1.0,16.0,1.0,44.0,16.0,0.0,1892.0,16.0,,,0,-0.1350915873086372,
89,V1,d09172021,IDAjV,memory_test,0.0,17.0,0.0,35.0,12.0,0.0,2245.0,,,,1,0.19732082270552925,
90,V1,d09172021,IDAjV,memory_test,0.0,18.0,1.0,57.0,12.0,0.0,1489.0,12.0,,,0,-0.5145879080896827,
91,V1,d09172021,IDAjV,memory_test,0.0,19.0,0.0,34.0,69.0,1.0,1599.0,,1.0,399.0,0,-0.4110033044025487,-0.4184172810763149
92,V1,d09172021,IDAjV,memory_test,1.0,20.0,1.0,7.0,5.0,1.0,2821.0,7.0,1.0,395.0,1,0.7397274747399764,-0.4229210481257805
93,V1,d09172021,IDAjV,memory_test,0.0,21.0,0.0,57.0,54.0,1.0,1772.0,,0.0,190.0,0,-0.24809297314914705,-0.6537391094108932
94,V1,d09172021,IDAjV,memory_test,0.0,22.0,0.0,11.0,55.0,0.0,2649.0,,,,1,0.5777588217019123,
95,V1,d09172021,IDAjV,memory_test,1.0,23.0,1.0,46.0,62.0,1.0,1451.0,62.0,0.0,276.0,1,-0.5503716802725108,-0.5569081178473825
96,V1,d09172021,59tg8,memory_test,1.0,0.0,0.0,42.0,33.0,0.0,3302.0,,,,1,1.7557023988421872,
97,V1,d09172021,59tg8,memory_test,0.0,1.0,0.0,53.0,37.0,0.0,1704.0,,,,1,0.010466319831364364,
98,V1,d09172021,59tg8,memory_test,0.0,2.0,1.0,22.0,10.0,0.0,1411.0,22.0,,,0,-0.3095300325780043,
99,V1,d09172021,59tg8,memory_test,1.0,3.0,1.0,55.0,33.0,0.0,1332.0,55.0,,,0,-0.3958089125791651,
100,V1,d09172021,59tg8,memory_test,0.0,4.0,1.0,3.0,48.0,0.0,1633.0,3.0,,,0,-0.06707545839752703,
101,V1,d09172021,59tg8,memory_test,1.0,5.0,0.0,24.0,34.0,0.0,1112.0,,,,1,-0.6360792113165751,
102,V1,d09172021,59tg8,memory_test,1.0,6.0,1.0,62.0,64.0,0.0,1152.0,62.0,,,0,-0.5923937024552277,
103,V1,d09172021,59tg8,memory_test,0.0,7.0,0.0,50.0,60.0,0.0,1082.0,,,,1,-0.6688433429625855,
104,V1,d09172021,59tg8,memory_test,0.0,8.0,1.0,60.0,4.0,0.0,1030.0,60.0,,,0,-0.7256345044823369,
105,V1,d09172021,59tg8,memory_test,0.0,9.0,0.0,3.0,4.0,0.0,1844.0,,,,1,0.16336560084607976,
106,V1,d09172021,59tg8,memory_test,0.0,10.0,0.0,63.0,31.0,0.0,1317.0,,,,1,-0.4121909784021704,
107,V1,d09172021,59tg8,memory_test,1.0,11.0,1.0,24.0,16.0,0.0,1028.0,16.0,,,0,-0.7278187799254042,
108,V1,d09172021,59tg8,memory_test,1.0,12.0,0.0,62.0,43.0,0.0,2314.0,,,,1,0.67667032996691,
109,V1,d09172021,59tg8,memory_test,1.0,13.0,0.0,44.0,64.0,0.0,1417.0,,,,1,-0.3029772062488022,
110,V1,d09172021,59tg8,memory_test,1.0,14.0,0.0,51.0,55.0,0.0,1212.0,,,,1,-0.5268654391632068,
111,V1,d09172021,59tg8,memory_test,0.0,15.0,0.0,48.0,22.0,0.0,1218.0,,,,1,-0.5203126128340048,
112,V1,d09172021,59tg8,memory_test,0.0,16.0,1.0,53.0,63.0,0.0,1223.0,53.0,,,0,-0.5148519242263364,
113,V1,d09172021,59tg8,memory_test,0.0,17.0,1.0,31.0,50.0,0.0,1856.0,31.0,,,0,0.17647125350448395,
114,V1,d09172021,59tg8,memory_test,1.0,18.0,1.0,34.0,51.0,0.0,981.0,34.0,,,0,-0.7791492528374873,
115,V1,d09172021,59tg8,memory_test,0.0,19.0,0.0,39.0,10.0,1.0,1396.0,,1.0,3191.0,0,-0.3259120984010095,1.1138147187189145
116,V1,d09172021,59tg8,memory_test,1.0,20.0,0.0,56.0,16.0,1.0,2482.0,,0.0,1740.0,0,0.8601494671845685,-0.2931601711776132
117,V1,d09172021,59tg8,memory_test,1.0,21.0,1.0,56.0,44.0,0.0,2094.0,44.0,,,0,0.4364000312295001,
118,V1,d09172021,59tg8,memory_test,0.0,22.0,1.0,37.0,39.0,0.0,1398.0,39.0,,,0,-0.32372782295794217,
119,V1,d09172021,59tg8,memory_test,1.0,23.0,1.0,43.0,42.0,1.0,5128.0,42.0,0.0,1196.0,1,3.749945878362689,-0.8206545475413011
120,V1,d09172021,VIK7A,memory_test,0.0,0.0,0.0,29.0,43.0,1.0,3876.0,,1.0,1468.0,0,2.4425960564350624,2.9047981685393034
121,V1,d09172021,VIK7A,memory_test,1.0,1.0,1.0,34.0,66.0,1.0,2762.0,66.0,0.0,938.0,1,0.9469646858586648,1.3597961320177634
122,V1,d09172021,VIK7A,memory_test,0.0,2.0,0.0,55.0,59.0,0.0,3313.0,,,,1,1.6867249059552494,
