,event,trial,time,PID,version,phase
559,fullscreenenter,0,6314,1W5Bp,V1,full_screen
560,fullscreenenter,0,11852,OwQ4s,V1,full_screen
561,fullscreenenter,0,11388,rLxNZ,V1,full_screen
562,fullscreenenter,0,62025,lktnl,V1,full_screen
563,fullscreenexit,461,2339935,lktnl,V1,reward_learning
564,blur,465,2344763,lktnl,V1,reward_learning
565,focus,466,2348966,lktnl,V1,reward_learning
566,blur,468,2352049,lktnl,V1,reward_learning
567,focus,469,2358585,lktnl,V1,reward_learning
568,blur,471,2361238,lktnl,V1,reward_learning
569,focus,472,2368531,lktnl,V1,reward_learning
570,blur,474,2371711,lktnl,V1,reward_learning
571,focus,475,2380155,lktnl,V1,reward_learning
572,blur,476,2382563,lktnl,V1,reward_learning
573,focus,477,2384444,lktnl,V1,reward_learning
574,blur,698,2598617,lktnl,V1,final_decisions
575,focus,698,2621525,lktnl,V1,final_decisions
576,blur,698,2622920,lktnl,V1,final_decisions
577,focus,698,2792051,lktnl,V1,final_decisions
578,blur,807,2878508,lktnl,V1,final_decisions
579,focus,807,2928988,lktnl,V1,final_decisions
580,blur,916,3025328,lktnl,V1,memory_test
581,focus,916,3064250,lktnl,V1,memory_test
582,blur,1034,3244338,lktnl,V1,debreif_intro
583,focus,1034,3255081,lktnl,V1,debreif_intro
584,focus,0,0,DyHLP,V1,full_screen
585,blur,0,163212,DyHLP,V1,full_screen
586,focus,0,166078,DyHLP,V1,full_screen
587,blur,0,167785,DyHLP,V1,full_screen
588,focus,0,217250,DyHLP,V1,full_screen
589,blur,0,218790,DyHLP,V1,full_screen
590,focus,0,316596,DyHLP,V1,full_screen
591,blur,0,317883,DyHLP,V1,full_screen
592,focus,0,684065,DyHLP,V1,full_screen
593,fullscreenexit,0,686015,DyHLP,V1,full_screen
594,blur,0,0,OKSBe,V1,full_screen
595,focus,0,450,OKSBe,V1,full_screen
596,blur,0,7848,OKSBe,V1,full_screen
597,focus,0,334577,OKSBe,V1,full_screen
598,blur,0,336160,OKSBe,V1,full_screen
599,focus,0,351331,OKSBe,V1,full_screen
600,blur,0,363272,OKSBe,V1,full_screen
601,focus,0,846250,OKSBe,V1,full_screen
602,fullscreenenter,0,847393,OKSBe,V1,full_screen
603,fullscreenexit,61,1014066,OKSBe,V1,rating
604,blur,61,1016768,OKSBe,V1,rating
605,focus,61,1059457,OKSBe,V1,rating
606,blur,63,1064994,OKSBe,V1,rating
607,focus,63,1073721,OKSBe,V1,rating
608,blur,64,1104513,OKSBe,V1,deliberation
609,focus,64,1218884,OKSBe,V1,deliberation
610,blur,192,1474396,OKSBe,V1,interference
611,focus,192,1495585,OKSBe,V1,interference
612,blur,404,1859483,OKSBe,V1,reward_learning
613,focus,404,1859833,OKSBe,V1,reward_learning
614,blur,404,1869139,OKSBe,V1,reward_learning
615,focus,404,1896925,OKSBe,V1,reward_learning
616,blur,404,1896929,OKSBe,V1,reward_learning
617,focus,404,1898954,OKSBe,V1,reward_learning
618,blur,404,1899654,OKSBe,V1,reward_learning
619,focus,404,1900284,OKSBe,V1,reward_learning
620,blur,404,1900834,OKSBe,V1,reward_learning
621,focus,404,1942079,OKSBe,V1,reward_learning
622,blur,479,2044870,OKSBe,V1,final_decisions
623,focus,479,2267183,OKSBe,V1,final_decisions
624,blur,479,2268003,OKSBe,V1,final_decisions
625,focus,479,2426945,OKSBe,V1,final_decisions
626,blur,479,2427718,OKSBe,V1,final_decisions
627,focus,479,2435469,OKSBe,V1,final_decisions
628,blur,479,2453101,OKSBe,V1,final_decisions
629,focus,479,2542833,OKSBe,V1,final_decisions
630,blur,515,2586592,OKSBe,V1,final_decisions
631,focus,516,2587089,OKSBe,V1,final_decisions
632,blur,590,2640067,OKSBe,V1,final_decisions
633,focus,590,2641296,OKSBe,V1,final_decisions
634,blur,590,2641301,OKSBe,V1,final_decisions
635,focus,590,2670687,OKSBe,V1,final_decisions
636,blur,590,2672178,OKSBe,V1,final_decisions
637,focus,590,2674115,OKSBe,V1,final_decisions
638,blur,699,2749192,OKSBe,V1,final_decisions
639,focus,699,2798223,OKSBe,V1,final_decisions
640,blur,990,3020337,OKSBe,V1,memory_test
641,focus,990,3020528,OKSBe,V1,memory_test
642,blur,1016,3040249,OKSBe,V1,debreif_intro
643,focus,1016,3053996,OKSBe,V1,debreif_intro
644,blur,1018,3066548,OKSBe,V1,debreif_intro
645,focus,1018,3070850,OKSBe,V1,debreif_intro
646,blur,1020,3075573,OKSBe,V1,debreif_intro
647,focus,1020,3077476,OKSBe,V1,debreif_intro
648,blur,1029,3137317,OKSBe,V1,debreif_intro
649,focus,1029,3142221,OKSBe,V1,debreif_intro
650,blur,0,0,BZQe3,V1,full_screen
651,focus,0,0,BZQe3,V1,full_screen
652,blur,0,434,BZQe3,V1,full_screen
653,focus,0,1562,BZQe3,V1,full_screen
654,fullscreenenter,0,4555,BZQe3,V1,full_screen
655,fullscreenexit,150,265547,BZQe3,V1,deliberation
656,blur,150,267451,BZQe3,V1,deliberation
657,focus,150,270462,BZQe3,V1,deliberation
658,blur,1019,1198595,BZQe3,V1,debreif_intro
659,focus,1019,1204934,BZQe3,V1,debreif_intro
660,blur,0,1242,IVM93,V1,full_screen
661,focus,0,2721,IVM93,V1,full_screen
662,fullscreenenter,0,33230,IVM93,V1,full_screen
663,blur,0,1973,aOuee,V1,full_screen
664,focus,0,3454,aOuee,V1,full_screen
665,blur,0,4360,aOuee,V1,full_screen
666,focus,0,17582,aOuee,V1,full_screen
667,fullscreenenter,0,26313,aOuee,V1,full_screen
668,fullscreenexit,1021,1857214,aOuee,V1,debreif_intro
669,blur,1021,1857956,aOuee,V1,debreif_intro
670,focus,1021,1861342,aOuee,V1,debreif_intro
671,blur,0,0,ARlDu,V1,full_screen
672,focus,0,0,ARlDu,V1,full_screen
673,blur,0,0,ARlDu,V1,full_screen
674,focus,0,0,ARlDu,V1,full_screen
675,fullscreenenter,0,19166,ARlDu,V1,full_screen
676,fullscreenenter,0,8150,7DxUX,V1,full_screen
677,fullscreenenter,0,9294,N8OXC,V1,full_screen
678,fullscreenenter,0,13671,fox3f,V1,full_screen
679,focus,0,0,ZpokS,V1,full_screen
680,fullscreenexit,0,24945,ZpokS,V1,full_screen
681,blur,0,841,sHdCP,V1,full_screen
682,focus,0,4107,sHdCP,V1,full_screen
683,fullscreenenter,0,11917,sHdCP,V1,full_screen
684,fullscreenenter,0,6057,0Zwdb,V1,full_screen
685,fullscreenenter,0,8056,qkwlL,V1,full_screen
686,fullscreenexit,1027,3160496,qkwlL,V1,debreif_intro
687,blur,1027,3168176,qkwlL,V1,debreif_intro
688,focus,1027,3173723,qkwlL,V1,debreif_intro
690,fullscreenenter,0,10761,VXjQe,V1,full_screen
691,fullscreenexit,1033,2308090,VXjQe,V1,debreif_intro
692,blur,1033,2309309,VXjQe,V1,debreif_intro
693,focus,1033,2314297,VXjQe,V1,debreif_intro
694,fullscreenenter,0,1765,nD3lS,V1,full_screen
695,fullscreenexit,49,523239,nD3lS,V1,rating
696,blur,49,526972,nD3lS,V1,rating
697,focus,49,527768,nD3lS,V1,rating
698,blur,49,528551,nD3lS,V1,rating
699,focus,49,542531,nD3lS,V1,rating
700,blur,50,548525,nD3lS,V1,rating
701,focus,50,557197,nD3lS,V1,rating
702,blur,51,562243,nD3lS,V1,rating
703,focus,51,564084,nD3lS,V1,rating
704,blur,52,569135,nD3lS,V1,rating
705,focus,52,576723,nD3lS,V1,rating
706,blur,54,584239,nD3lS,V1,rating
707,focus,54,588888,nD3lS,V1,rating
708,blur,55,592484,nD3lS,V1,rating
709,focus,55,596942,nD3lS,V1,rating
710,blur,56,599978,nD3lS,V1,rating
711,focus,56,601324,nD3lS,V1,rating
712,blur,57,604283,nD3lS,V1,rating
713,focus,57,610021,nD3lS,V1,rating
714,blur,57,614087,nD3lS,V1,rating
715,focus,57,618937,nD3lS,V1,rating
716,blur,60,642743,nD3lS,V1,rating
717,focus,60,644039,nD3lS,V1,rating
718,blur,61,654195,nD3lS,V1,rating
719,focus,61,655728,nD3lS,V1,rating
720,blur,61,658752,nD3lS,V1,rating
721,focus,61,663259,nD3lS,V1,rating
722,blur,89,857688,nD3lS,V1,deliberation
723,focus,89,860308,nD3lS,V1,deliberation
724,blur,91,864245,nD3lS,V1,deliberation
725,focus,91,866818,nD3lS,V1,deliberation
726,blur,93,898349,nD3lS,V1,deliberation
727,focus,93,900998,nD3lS,V1,deliberation
728,blur,139,1049211,nD3lS,V1,deliberation
729,focus,140,1057470,nD3lS,V1,deliberation
730,blur,484,1682868,nD3lS,V1,final_decisions
731,focus,484,1684578,nD3lS,V1,final_decisions
732,blur,484,1693522,nD3lS,V1,final_decisions
733,focus,484,1694928,nD3lS,V1,final_decisions
734,blur,922,2103737,nD3lS,V1,memory_test
735,focus,922,2105390,nD3lS,V1,memory_test
736,blur,1030,2311887,nD3lS,V1,debreif_intro
737,focus,1030,2320722,nD3lS,V1,debreif_intro
738,blur,1031,2327867,nD3lS,V1,
740,fullscreenenter,0,8021,CDRCj,V1,full_screen
741,blur,1,18203,CDRCj,V1,rating
742,focus,1,20156,CDRCj,V1,rating
743,blur,64,275582,CDRCj,V1,deliberation
744,focus,64,283347,CDRCj,V1,deliberation
745,blur,64,305155,CDRCj,V1,deliberation
746,focus,64,306535,CDRCj,V1,deliberation
747,blur,256,911268,CDRCj,V1,reward_learning
748,focus,256,912705,CDRCj,V1,reward_learning
749,blur,256,928964,CDRCj,V1,reward_learning
750,focus,256,930924,CDRCj,V1,reward_learning
751,blur,422,1161230,CDRCj,V1,reward_learning
752,focus,423,1161873,CDRCj,V1,reward_learning
753,blur,478,1229029,CDRCj,V1,final_decisions
754,focus,478,1229181,CDRCj,V1,final_decisions
755,blur,478,1231677,CDRCj,V1,final_decisions
756,focus,478,1236172,CDRCj,V1,final_decisions
757,blur,478,1251086,CDRCj,V1,final_decisions
758,focus,478,1253342,CDRCj,V1,final_decisions
759,blur,479,1263900,CDRCj,V1,final_decisions
760,focus,479,1266902,CDRCj,V1,final_decisions
761,blur,916,2190575,CDRCj,V1,memory_test
762,focus,916,2190651,CDRCj,V1,memory_test
763,blur,916,2191327,CDRCj,V1,memory_test
764,focus,916,2194642,CDRCj,V1,memory_test
765,blur,917,2227408,CDRCj,V1,memory_test
766,focus,917,2231034,CDRCj,V1,memory_test
767,blur,1034,2412727,CDRCj,V1,debreif_intro
768,fullscreenexit,1034,2414213,CDRCj,V1,debreif_intro
769,focus,1034,2415233,CDRCj,V1,debreif_intro
770,blur,1034,2415234,CDRCj,V1,debreif_intro
771,focus,1034,2421649,CDRCj,V1,debreif_intro
772,blur,1034,2425687,CDRCj,V1,debreif_intro
773,focus,1034,2428619,CDRCj,V1,debreif_intro
774,blur,1034,2428624,CDRCj,V1,debreif_intro
775,focus,1034,2450525,CDRCj,V1,debreif_intro
776,blur,1034,2458861,CDRCj,V1,debreif_intro
777,focus,1034,2460575,CDRCj,V1,debreif_intro
778,fullscreenenter,0,1112,S5lJ6,V1,full_screen
779,blur,15,70060,S5lJ6,V1,rating
780,focus,15,91496,S5lJ6,V1,rating
781,blur,38,154620,S5lJ6,V1,rating
782,focus,38,160346,S5lJ6,V1,rating
783,blur,58,210025,S5lJ6,V1,rating
784,focus,58,242342,S5lJ6,V1,rating
785,blur,155,1037905,S5lJ6,V1,deliberation
786,focus,155,1058316,S5lJ6,V1,deliberation
787,blur,200,1171907,S5lJ6,V1,interference
788,focus,200,1173470,S5lJ6,V1,interference
789,blur,346,1453375,S5lJ6,V1,reward_learning
790,focus,347,1455320,S5lJ6,V1,reward_learning
791,blur,707,1816077,S5lJ6,V1,final_decisions
792,focus,707,1830665,S5lJ6,V1,final_decisions
793,focus,0,0,IDAjV,V1,full_screen
794,blur,0,0,IDAjV,V1,full_screen
795,focus,0,0,IDAjV,V1,full_screen
796,blur,0,0,IDAjV,V1,full_screen
797,focus,0,10863,IDAjV,V1,full_screen
798,blur,0,19562,IDAjV,V1,full_screen
799,focus,0,47462,IDAjV,V1,full_screen
800,fullscreenexit,0,49339,IDAjV,V1,full_screen
801,blur,216,887338,IDAjV,V1,interference
802,focus,217,890079,IDAjV,V1,interference
803,blur,230,917486,IDAjV,V1,interference
804,focus,231,918150,IDAjV,V1,interference
805,blur,1033,1972936,IDAjV,V1,debreif_intro
806,focus,1033,1973189,IDAjV,V1,debreif_intro
807,fullscreenexit,1033,1973341,IDAjV,V1,debreif_intro
808,blur,1033,1974513,IDAjV,V1,debreif_intro
809,focus,1033,1978638,IDAjV,V1,debreif_intro
810,blur,1034,1986325,IDAjV,V1,
811,focus,1034,1987956,IDAjV,V1,
812,fullscreenenter,0,1532,VIK7A,V1,full_screen
813,blur,1035,1614873,VIK7A,V1,
814,focus,1035,1615988,VIK7A,V1,
815,fullscreenenter,0,11706,59tg8,V1,full_screen
816,fullscreenenter,0,11677,eGaxL,V1,full_screen
817,blur,0,0,NtP4V,V1,full_screen
818,focus,0,203087,NtP4V,V1,full_screen
819,fullscreenenter,0,203102,NtP4V,V1,full_screen
820,fullscreenenter,0,11854,UmcnU,V1,full_screen
821,blur,0,10124,OvCTN,V1,full_screen
822,focus,0,21229,OvCTN,V1,full_screen
823,fullscreenenter,0,25796,OvCTN,V1,full_screen
824,blur,0,15719,bOPuu,V1,full_screen
825,focus,0,23583,bOPuu,V1,full_screen
826,blur,0,24220,bOPuu,V1,full_screen
827,focus,0,27771,bOPuu,V1,full_screen
828,fullscreenenter,0,30340,bOPuu,V1,full_screen
829,fullscreenenter,0,9477,skpJF,V1,full_screen
830,focus,0,0,MlgU9,V1,full_screen
831,fullscreenexit,0,8662,MlgU9,V1,full_screen
832,blur,1,13439,MlgU9,V1,rating
833,focus,1,13440,MlgU9,V1,rating
834,blur,1,13942,MlgU9,V1,rating
835,focus,1,13945,MlgU9,V1,rating
836,blur,1045,1747889,MlgU9,V1,debreif_intro
837,focus,1045,1749404,MlgU9,V1,debreif_intro
838,blur,1045,1749732,MlgU9,V1,debreif_intro
839,focus,1045,1751549,MlgU9,V1,debreif_intro
840,blur,0,5560,Pj09s,V1,full_screen
841,focus,0,7781,Pj09s,V1,full_screen
842,fullscreenenter,0,8770,Pj09s,V1,full_screen
843,fullscreenexit,1026,1496720,Pj09s,V1,debreif_intro
844,blur,1026,1497585,Pj09s,V1,debreif_intro
845,focus,1026,1505015,Pj09s,V1,debreif_intro
846,blur,1027,1511261,Pj09s,V1,
