,Exp,group,PID,phase,trial,condition,old_pair,stimulus_left,stimulus_right,old_response,rt_pairs,chosen_object,left_object_chosen,rt_object,pairs_acc,zscored_rt_pairs,zscored_rt_object
26,Pilot,d10012021,arjeO,memory_test,26.0,0.0,1.0,30.0,25.0,0.0,4899.0,25.0,,,0,1.3759263871567946,
27,Pilot,d10012021,arjeO,memory_test,27.0,0.0,1.0,45.0,40.0,1.0,2573.0,40.0,0.0,1404.0,1,-0.7117054054284538,-0.0482375777711068
28,Pilot,d10012021,arjeO,memory_test,28.0,0.0,1.0,8.0,35.0,1.0,3321.0,8.0,1.0,1689.0,1,-0.04036035776991311,0.15294841732302178
29,Pilot,d10012021,arjeO,memory_test,29.0,0.0,0.0,40.0,16.0,0.0,1985.0,,,,1,-1.2394472343365046,
30,Pilot,d10012021,arjeO,memory_test,30.0,1.0,1.0,34.0,39.0,1.0,3074.0,39.0,0.0,925.0,1,-0.26204782671598204,-0.3863712326836949
31,Pilot,d10012021,arjeO,memory_test,31.0,0.0,0.0,30.0,8.0,0.0,4586.0,,,,1,1.0950025904761485,
32,Pilot,d10012021,A26v1,memory_test,0.0,0.0,0.0,6.0,20.0,0.0,5549.0,,,,1,4.25072077603573,
33,Pilot,d10012021,A26v1,memory_test,1.0,0.0,0.0,18.0,48.0,1.0,1731.0,,0.0,5244.0,0,0.5016245138053326,4.574703499284437
34,Pilot,d10012021,A26v1,memory_test,2.0,0.0,0.0,55.0,43.0,1.0,3620.0,,0.0,1674.0,0,2.356533586448921,0.88130663666674
35,Pilot,d10012021,A26v1,memory_test,3.0,0.0,1.0,49.0,48.0,1.0,1091.0,48.0,0.0,716.0,1,-0.1268253572861956,-0.10980658304971772
36,Pilot,d10012021,A26v1,memory_test,4.0,1.0,1.0,2.0,51.0,1.0,1373.0,2.0,1.0,543.0,1,0.15008536716350898,-0.2887863189692868
37,Pilot,d10012021,A26v1,memory_test,5.0,0.0,1.0,20.0,40.0,1.0,529.0,40.0,0.0,544.0,1,-0.6786829003384437,-0.28775175402177483
38,Pilot,d10012021,A26v1,memory_test,6.0,1.0,0.0,9.0,7.0,1.0,516.0,,0.0,464.0,0,-0.6914482883449904,-0.37051694982273164
39,Pilot,d10012021,A26v1,memory_test,7.0,1.0,0.0,3.0,59.0,1.0,1385.0,,1.0,987.0,0,0.16186880224647515,0.17056051772602346
40,Pilot,d10012021,A26v1,memory_test,8.0,1.0,1.0,0.0,32.0,1.0,627.0,32.0,0.0,728.0,1,-0.5824515138275534,-0.0973918036795742
41,Pilot,d10012021,A26v1,memory_test,9.0,0.0,0.0,50.0,38.0,1.0,880.0,,1.0,364.0,0,-0.3340174241616838,-0.47397344457392765
42,Pilot,d10012021,A26v1,memory_test,10.0,1.0,0.0,16.0,27.0,1.0,1597.0,,1.0,504.0,0,0.37004282204554384,-0.32913435192225327
43,Pilot,d10012021,A26v1,memory_test,11.0,0.0,1.0,43.0,18.0,1.0,648.0,43.0,1.0,413.0,1,-0.5618305024323628,-0.4232797621458416
44,Pilot,d10012021,A26v1,memory_test,12.0,1.0,1.0,28.0,12.0,1.0,538.0,12.0,0.0,585.0,1,-0.6698453240262191,-0.24533459117378448
45,Pilot,d10012021,A26v1,memory_test,13.0,0.0,1.0,55.0,15.0,1.0,1211.0,15.0,1.0,1178.0,1,-0.00899100645653407,0.3681624227008078
46,Pilot,d10012021,A26v1,memory_test,14.0,0.0,1.0,38.0,6.0,1.0,640.0,6.0,0.0,381.0,1,-0.5696861258210069,-0.4563858404662243
47,Pilot,d10012021,A26v1,memory_test,15.0,1.0,0.0,32.0,35.0,1.0,537.0,,0.0,1461.0,0,-0.6708272769497996,0.6609443028466925
48,Pilot,d10012021,A26v1,memory_test,16.0,0.0,1.0,14.0,50.0,1.0,566.0,50.0,0.0,403.0,1,-0.6423506421659647,-0.4336254116209612
49,Pilot,d10012021,A26v1,memory_test,17.0,1.0,0.0,12.0,51.0,1.0,627.0,,1.0,464.0,0,-0.5824515138275534,-0.37051694982273164
50,Pilot,d10012021,A26v1,memory_test,18.0,1.0,1.0,54.0,52.0,1.0,1587.0,52.0,0.0,381.0,1,0.3602232928097387,-0.4563858404662243
51,Pilot,d10012021,A26v1,memory_test,19.0,0.0,1.0,45.0,29.0,1.0,577.0,29.0,1.0,707.0,1,-0.6315491600065791,-0.11911766757732536
52,Pilot,d10012021,A26v1,memory_test,20.0,1.0,1.0,27.0,9.0,1.0,668.0,27.0,1.0,423.0,1,-0.5421914439607525,-0.412934112670722
53,Pilot,d10012021,A26v1,memory_test,21.0,1.0,1.0,59.0,4.0,1.0,628.0,4.0,0.0,442.0,1,-0.581469560903973,-0.3932773786679948
54,Pilot,d10012021,A26v1,memory_test,22.0,0.0,0.0,14.0,25.0,1.0,488.0,,0.0,604.0,0,-0.7189429702052448,-0.22567785717105723
55,Pilot,d10012021,A26v1,memory_test,23.0,0.0,0.0,40.0,45.0,0.0,1792.0,,,,1,0.5615236421437438,
56,Pilot,d10012021,A26v1,memory_test,24.0,1.0,0.0,4.0,28.0,1.0,1887.0,,1.0,311.0,0,0.6548091698838925,-0.5288053867920616
57,Pilot,d10012021,A26v1,memory_test,25.0,1.0,0.0,54.0,2.0,1.0,1465.0,,0.0,110.0,0,0.24042503613291616,-0.7367529412419654
58,Pilot,d10012021,A26v1,memory_test,26.0,0.0,1.0,25.0,41.0,1.0,970.0,25.0,1.0,242.0,1,-0.24564166103943763,-0.6001903681703867
59,Pilot,d10012021,A26v1,memory_test,27.0,0.0,0.0,15.0,41.0,0.0,1555.0,,,,1,0.3288007992551623,
60,Pilot,d10012021,A26v1,memory_test,28.0,1.0,0.0,0.0,52.0,1.0,1305.0,,0.0,420.0,0,0.08331256836003413,-0.41603780751325786
61,Pilot,d10012021,A26v1,memory_test,29.0,1.0,1.0,7.0,35.0,1.0,1113.0,7.0,0.0,1108.0,1,-0.10522239296742432,0.2957428763749706
62,Pilot,d10012021,A26v1,memory_test,30.0,0.0,0.0,49.0,29.0,1.0,667.0,,0.0,283.0,0,-0.543173396884333,-0.5577732053223964
63,Pilot,d10012021,A26v1,memory_test,31.0,1.0,1.0,3.0,16.0,1.0,678.0,3.0,1.0,2158.0,1,-0.5323719147249474,1.3820360712625286
64,Pilot,d10012021,eoRdQ,memory_test,0.0,0.0,0.0,55.0,16.0,1.0,3962.0,,1.0,3558.0,0,3.7051526350521953,3.3898957866005186
65,Pilot,d10012021,eoRdQ,memory_test,1.0,0.0,1.0,35.0,16.0,1.0,1650.0,35.0,1.0,448.0,1,0.08743088359121212,-0.27941447131385
66,Pilot,d10012021,eoRdQ,memory_test,2.0,1.0,1.0,42.0,41.0,0.0,2175.0,41.0,,,0,0.9089291186764267,
67,Pilot,d10012021,eoRdQ,memory_test,3.0,0.0,1.0,34.0,45.0,1.0,1727.0,45.0,0.0,1977.0,1,0.20791729140371026,1.5245647519501593
68,Pilot,d10012021,eoRdQ,memory_test,4.0,1.0,1.0,48.0,17.0,1.0,1515.0,48.0,1.0,505.0,1,-0.12381151971641449,-0.21216344729419762
69,Pilot,d10012021,eoRdQ,memory_test,5.0,0.0,0.0,33.0,34.0,0.0,1243.0,,,,1,-0.5494258434177066,
70,Pilot,d10012021,eoRdQ,memory_test,6.0,0.0,1.0,57.0,53.0,1.0,1373.0,57.0,1.0,355.0,1,-0.3460072328251773,-0.3891398262932829
71,Pilot,d10012021,eoRdQ,memory_test,7.0,0.0,1.0,8.0,55.0,1.0,2488.0,55.0,0.0,669.0,1,1.3986985426415166,-0.01866927292186435
72,Pilot,d10012021,eoRdQ,memory_test,8.0,1.0,0.0,42.0,21.0,1.0,2472.0,,0.0,448.0,0,1.3736624059532052,-0.27941447131385
73,Pilot,d10012021,eoRdQ,memory_test,9.0,1.0,0.0,17.0,39.0,0.0,1376.0,,,,1,-0.3413129571961189,
74,Pilot,d10012021,eoRdQ,memory_test,10.0,1.0,0.0,31.0,23.0,0.0,915.0,,,,1,-1.0626666455280882,
75,Pilot,d10012021,eoRdQ,memory_test,11.0,1.0,1.0,40.0,26.0,0.0,1049.0,40.0,,,0,-0.8529890007634812,
76,Pilot,d10012021,eoRdQ,memory_test,12.0,0.0,0.0,8.0,57.0,1.0,1969.0,,0.0,329.0,0,0.5865888588144187,-0.4198157319864577
77,Pilot,d10012021,eoRdQ,memory_test,13.0,0.0,1.0,33.0,10.0,1.0,1399.0,33.0,1.0,293.0,1,-0.3053235107066714,-0.46229006294623814
78,Pilot,d10012021,eoRdQ,memory_test,14.0,1.0,0.0,12.0,14.0,1.0,2647.0,,0.0,317.0,0,1.64749515098161,-0.4339738423063845
79,Pilot,d10012021,eoRdQ,memory_test,15.0,0.0,0.0,45.0,32.0,0.0,1444.0,,,,1,-0.2349093762707959,
80,Pilot,d10012021,eoRdQ,memory_test,16.0,1.0,1.0,21.0,27.0,0.0,1128.0,21.0,,,0,-0.7293730758649442,
81,Pilot,d10012021,eoRdQ,memory_test,17.0,1.0,1.0,31.0,36.0,1.0,1828.0,31.0,1.0,284.0,1,0.36595790424867536,-0.4729086456861833
82,Pilot,d10012021,eoRdQ,memory_test,18.0,1.0,0.0,15.0,41.0,0.0,1767.0,,,,1,0.2705076331244885,
83,Pilot,d10012021,eoRdQ,memory_test,19.0,0.0,1.0,56.0,38.0,1.0,1297.0,56.0,1.0,293.0,1,-0.464928882094656,-0.46229006294623814
84,Pilot,d10012021,eoRdQ,memory_test,20.0,0.0,1.0,32.0,1.0,1.0,1694.0,1.0,0.0,883.0,1,0.1562802594840682,0.23381702778349736
85,Pilot,d10012021,eoRdQ,memory_test,21.0,0.0,0.0,52.0,38.0,0.0,1299.0,,,,1,-0.46179936500861707,
86,Pilot,d10012021,eoRdQ,memory_test,22.0,1.0,0.0,37.0,36.0,0.0,1424.0,,,,1,-0.266204547131185,
87,Pilot,d10012021,eoRdQ,memory_test,23.0,1.0,0.0,40.0,27.0,0.0,644.0,,,,1,-1.486716210686361,
88,Pilot,d10012021,eoRdQ,memory_test,24.0,1.0,1.0,12.0,39.0,1.0,1116.0,39.0,0.0,254.0,1,-0.7481501783811776,-0.5083039214860003
89,Pilot,d10012021,eoRdQ,memory_test,25.0,1.0,0.0,48.0,26.0,0.0,2009.0,,,,1,0.649179200535197,
90,Pilot,d10012021,eoRdQ,memory_test,26.0,1.0,1.0,14.0,23.0,0.0,1120.0,14.0,,,0,-0.7418911442090997,
91,Pilot,d10012021,eoRdQ,memory_test,27.0,0.0,0.0,53.0,1.0,0.0,1268.0,,,,1,-0.5103068798422202,
92,Pilot,d10012021,eoRdQ,memory_test,28.0,0.0,0.0,10.0,56.0,0.0,1003.0,,,,1,-0.9249678937423762,
93,Pilot,d10012021,eoRdQ,memory_test,29.0,0.0,1.0,2.0,52.0,1.0,1078.0,52.0,0.0,302.0,1,-0.8076110030159169,-0.45167148020629305
94,Pilot,d10012021,eoRdQ,memory_test,30.0,0.0,0.0,2.0,35.0,1.0,1338.0,,0.0,427.0,0,-0.40077378183085827,-0.30419116437372196
95,Pilot,d10012021,eoRdQ,memory_test,31.0,1.0,1.0,15.0,37.0,1.0,1595.0,37.0,0.0,300.0,1,0.0013691637251420244,-0.4540311652596142
96,Pilot,d10012021,lPMys,memory_test,0.0,1.0,1.0,47.0,40.0,0.0,5508.0,47.0,,,0,2.2836586429092383,
97,Pilot,d10012021,lPMys,memory_test,1.0,0.0,1.0,31.0,10.0,0.0,6380.0,31.0,,,0,2.999730232657967,
98,Pilot,d10012021,lPMys,memory_test,2.0,1.0,1.0,51.0,23.0,1.0,5726.0,23.0,0.0,5607.0,1,2.4626765403464206,3.7090908470432358
99,Pilot,d10012021,lPMys,memory_test,3.0,0.0,1.0,46.0,0.0,1.0,2694.0,0.0,0.0,2133.0,1,-0.02715036345879283,0.9282522363146288
100,Pilot,d10012021,lPMys,memory_test,4.0,1.0,1.0,43.0,8.0,1.0,2754.0,43.0,1.0,506.0,1,0.022120617487220624,-0.3741151844267192
101,Pilot,d10012021,lPMys,memory_test,5.0,1.0,1.0,41.0,17.0,0.0,2792.0,41.0,,,0,0.053325572086362474,
102,Pilot,d10012021,lPMys,memory_test,6.0,0.0,1.0,33.0,7.0,1.0,2717.0,7.0,0.0,1084.0,1,-0.00826315409615434,0.08855744568299143
103,Pilot,d10012021,lPMys,memory_test,7.0,0.0,1.0,56.0,22.0,1.0,1953.0,22.0,0.0,1636.0,1,-0.635646978142059,0.530417812154549
104,Pilot,d10012021,lPMys,memory_test,8.0,1.0,0.0,51.0,37.0,1.0,2067.0,,0.0,720.0,0,-0.5420321143446334,-0.2028142452511516
105,Pilot,d10012021,lPMys,memory_test,9.0,0.0,0.0,38.0,31.0,0.0,3207.0,,,,1,0.3941165236296222,
106,Pilot,d10012021,lPMys,memory_test,10.0,1.0,0.0,41.0,50.0,0.0,2427.0,,,,1,-0.2464062286685527,
107,Pilot,d10012021,lPMys,memory_test,11.0,0.0,0.0,33.0,22.0,0.0,1757.0,,,,1,-0.7965988492323696,
108,Pilot,d10012021,lPMys,memory_test,12.0,0.0,0.0,24.0,2.0,1.0,2395.0,,1.0,420.0,0,-0.2726840851730932,-0.44295574876830246
109,Pilot,d10012021,lPMys,memory_test,13.0,0.0,1.0,2.0,13.0,1.0,1572.0,13.0,0.0,381.0,1,-0.9485177071492444,-0.47417414422553206
110,Pilot,d10012021,lPMys,memory_test,14.0,0.0,0.0,55.0,56.0,1.0,1508.0,,1.0,256.0,0,-1.0010734201583253,-0.5742331040243449
111,Pilot,d10012021,lPMys,memory_test,15.0,0.0,0.0,13.0,49.0,0.0,3131.0,,,,1,0.3317066144313385,
112,Pilot,d10012021,lPMys,memory_test,16.0,1.0,0.0,43.0,40.0,0.0,1707.0,,,,1,-0.8376580000207141,
113,Pilot,d10012021,lPMys,memory_test,17.0,1.0,0.0,47.0,18.0,0.0,3792.0,,,,1,0.8745085878532534,
114,Pilot,d10012021,lPMys,memory_test,18.0,1.0,0.0,17.0,59.0,1.0,2644.0,,0.0,1156.0,0,-0.06820951424713738,0.14619140652710763
115,Pilot,d10012021,lPMys,memory_test,19.0,1.0,1.0,18.0,1.0,0.0,2255.0,1.0,,,0,-0.38764970738045795,
116,Pilot,d10012021,lPMys,memory_test,20.0,1.0,0.0,44.0,1.0,0.0,2357.0,,,,1,-0.3038890397722351,
117,Pilot,d10012021,lPMys,memory_test,21.0,1.0,1.0,57.0,50.0,1.0,2542.0,57.0,1.0,220.0,1,-0.15197018185536024,-0.6030500844464031
118,Pilot,d10012021,lPMys,memory_test,22.0,0.0,0.0,27.0,7.0,0.0,3032.0,,,,1,0.2504094958704163,
119,Pilot,d10012021,lPMys,memory_test,23.0,1.0,1.0,44.0,59.0,1.0,3555.0,59.0,0.0,218.0,1,0.6798882131165003,-0.604651027803184
120,Pilot,d10012021,lPMys,memory_test,24.0,1.0,0.0,23.0,8.0,1.0,3518.0,,1.0,283.0,0,0.6495044415331253,-0.5526203687078013
121,Pilot,d10012021,lPMys,memory_test,25.0,0.0,1.0,24.0,38.0,1.0,2004.0,24.0,1.0,223.0,1,-0.5937666443379476,-0.6006486694112315
122,Pilot,d10012021,lPMys,memory_test,26.0,0.0,0.0,28.0,46.0,0.0,2420.0,,,,1,-0.25215450977892095,
123,Pilot,d10012021,lPMys,memory_test,27.0,1.0,1.0,5.0,37.0,1.0,1231.0,37.0,0.0,993.0,1,-1.2285411155257542,0.015714522949455675
124,Pilot,d10012021,lPMys,memory_test,28.0,0.0,0.0,10.0,0.0,1.0,2055.0,,0.0,1409.0,0,-0.5518863105338361,0.34871074115990486
125,Pilot,d10012021,lPMys,memory_test,29.0,0.0,1.0,27.0,28.0,1.0,1604.0,28.0,0.0,472.0,1,-0.9222398506447039,-0.4013312214919963
126,Pilot,d10012021,lPMys,memory_test,30.0,0.0,1.0,55.0,49.0,1.0,1332.0,55.0,1.0,519.0,1,-1.1456016309332981,-0.3637090526076427
127,Pilot,d10012021,lPMys,memory_test,31.0,1.0,0.0,5.0,57.0,1.0,2630.0,,1.0,258.0,0,-0.07970607646787385,-0.572632160667564
128,Pilot,d09302021,d1IcC,memory_test,0.0,1.0,1.0,6.0,19.0,0.0,3231.0,19.0,,,0,3.4962758680944823,
129,Pilot,d09302021,d1IcC,memory_test,1.0,0.0,1.0,33.0,32.0,1.0,1511.0,33.0,1.0,2194.0,1,-0.010257118656739584,2.392658587800955
130,Pilot,d09302021,d1IcC,memory_test,2.0,1.0,1.0,27.0,0.0,1.0,2032.0,27.0,1.0,723.0,1,1.051896187213834,-0.15427012097334478
131,Pilot,d09302021,d1IcC,memory_test,3.0,0.0,0.0,50.0,45.0,0.0,2126.0,,,,1,1.2435322923037264,
132,Pilot,d09302021,d1IcC,memory_test,4.0,1.0,1.0,3.0,53.0,1.0,2047.0,3.0,1.0,738.0,1,1.0824764167494552,-0.12829872013608135
133,Pilot,d09302021,d1IcC,memory_test,5.0,1.0,0.0,44.0,7.0,1.0,1099.0,,1.0,401.0,0,-0.8501940899017997,-0.7117895256132662
134,Pilot,d09302021,d1IcC,memory_test,6.0,0.0,0.0,29.0,15.0,0.0,1455.0,,,,1,-0.12442330892305843,
135,Pilot,d09302021,d1IcC,memory_test,7.0,1.0,0.0,53.0,23.0,1.0,1223.0,,0.0,2234.0,0,-0.5973975257406651,2.461915656700324
136,Pilot,d09302021,d1IcC,memory_test,8.0,1.0,1.0,51.0,44.0,0.0,1873.0,44.0,,,0,0.7277457541362501,
137,Pilot,d09302021,d1IcC,memory_test,9.0,0.0,0.0,38.0,22.0,1.0,1598.0,,0.0,1509.0,0,0.16710821264986292,1.2066312828992587
138,Pilot,d09302021,d1IcC,memory_test,10.0,0.0,1.0,8.0,5.0,1.0,1717.0,5.0,0.0,754.0,1,0.40971136696579047,-0.1005958925763337
139,Pilot,d09302021,d1IcC,memory_test,11.0,1.0,1.0,37.0,23.0,0.0,1401.0,23.0,,,0,-0.23451213525129447,
140,Pilot,d09302021,d1IcC,memory_test,12.0,0.0,1.0,50.0,54.0,1.0,915.0,54.0,0.0,533.0,1,-1.2253115722054189,-0.4832411982453481
141,Pilot,d09302021,d1IcC,memory_test,13.0,0.0,1.0,10.0,55.0,1.0,1173.0,10.0,1.0,359.0,1,-0.6993316241927355,-0.7845094479576038
142,Pilot,d09302021,d1IcC,memory_test,14.0,1.0,0.0,3.0,6.0,1.0,1333.0,,1.0,593.0,0,-0.3731425091461102,-0.37935559489629445
143,Pilot,d09302021,d1IcC,memory_test,15.0,0.0,1.0,17.0,29.0,1.0,1941.0,29.0,0.0,1309.0,1,0.8663761280310659,0.8603459384024129
144,Pilot,d09302021,d1IcC,memory_test,16.0,1.0,0.0,27.0,51.0,0.0,1888.0,,,,1,0.7583259836718712,
145,Pilot,d09302021,d1IcC,memory_test,17.0,0.0,0.0,33.0,8.0,0.0,1233.0,,,,1,-0.5770107060502511,
146,Pilot,d09302021,d1IcC,memory_test,18.0,1.0,0.0,37.0,46.0,0.0,2207.0,,,,1,1.4086655317960803,
147,Pilot,d09302021,d1IcC,memory_test,19.0,1.0,1.0,13.0,52.0,1.0,1182.0,13.0,1.0,1053.0,1,-0.6809834864713629,0.41710069744645056
148,Pilot,d09302021,d1IcC,memory_test,20.0,0.0,0.0,5.0,55.0,0.0,1086.0,,,,1,-0.876696955499338,
149,Pilot,d09302021,d1IcC,memory_test,21.0,0.0,0.0,10.0,17.0,1.0,1176.0,,1.0,380.0,0,-0.6932155782856113,-0.748149486785435
150,Pilot,d09302021,d1IcC,memory_test,22.0,0.0,0.0,32.0,54.0,0.0,1125.0,,,,1,-0.7971883587067231,
151,Pilot,d09302021,d1IcC,memory_test,23.0,0.0,1.0,22.0,15.0,1.0,1347.0,22.0,1.0,456.0,1,-0.3446009615795305,-0.6165610558766337
152,Pilot,d09302021,d1IcC,memory_test,24.0,1.0,0.0,19.0,20.0,1.0,1778.0,,1.0,383.0,0,0.5340709670773164,-0.7429552066179823
153,Pilot,d09302021,d1IcC,memory_test,25.0,0.0,1.0,59.0,45.0,1.0,1233.0,45.0,0.0,367.0,1,-0.5770107060502511,-0.77065803417773
154,Pilot,d09302021,d1IcC,memory_test,26.0,0.0,1.0,12.0,38.0,1.0,871.0,12.0,1.0,329.0,1,-1.3150135788432407,-0.8364522496321307
155,Pilot,d09302021,d1IcC,memory_test,27.0,1.0,0.0,0.0,13.0,1.0,1568.0,,0.0,626.0,0,0.10594775357862067,-0.3222185130543149
156,Pilot,d09302021,d1IcC,memory_test,28.0,1.0,1.0,20.0,25.0,0.0,1817.0,25.0,,,0,0.6135795638699313,
157,Pilot,d09302021,d1IcC,memory_test,29.0,1.0,0.0,52.0,25.0,1.0,1178.0,,0.0,854.0,0,-0.6891382143475284,0.07254677967208913
158,Pilot,d09302021,d1IcC,memory_test,30.0,1.0,1.0,46.0,7.0,1.0,1100.0,46.0,1.0,447.0,1,-0.8481554079327582,-0.6321438963789917
159,Pilot,d09302021,d1IcC,memory_test,31.0,0.0,0.0,59.0,12.0,0.0,1049.0,,,,1,-0.9521281883538701,
160,Pilot,d10012021,BAWYi,memory_test,0.0,1.0,1.0,2.0,37.0,1.0,2197.0,37.0,0.0,4049.0,1,0.5160533004050067,3.7717583569698703
161,Pilot,d10012021,BAWYi,memory_test,1.0,0.0,0.0,15.0,32.0,1.0,3054.0,,0.0,1064.0,0,2.0134869804713387,0.2957785188855656
162,Pilot,d10012021,BAWYi,memory_test,2.0,1.0,0.0,34.0,59.0,0.0,2101.0,,,,1,0.34831277148275713,
163,Pilot,d10012021,BAWYi,memory_test,3.0,1.0,0.0,14.0,2.0,0.0,2751.0,,,,1,1.4840559360604886,
164,Pilot,d10012021,BAWYi,memory_test,4.0,1.0,0.0,37.0,36.0,0.0,1854.0,,,,1,-0.08326963105678079,
165,Pilot,d10012021,BAWYi,memory_test,5.0,1.0,0.0,7.0,49.0,1.0,1885.0,,0.0,753.0,0,-0.029103418592304368,-0.06637549439557969
166,Pilot,d10012021,BAWYi,memory_test,6.0,0.0,1.0,16.0,27.0,1.0,1437.0,16.0,1.0,1193.0,1,-0.8118925535628023,0.44599674304398285
167,Pilot,d10012021,BAWYi,memory_test,7.0,0.0,1.0,39.0,24.0,1.0,1700.0,39.0,1.0,641.0,1,-0.35235339620288947,-0.1967975184711047
168,Pilot,d10012021,BAWYi,memory_test,8.0,1.0,1.0,43.0,23.0,1.0,2175.0,23.0,0.0,1121.0,1,0.4776127625269912,0.3621540132811453
169,Pilot,d10012021,BAWYi,memory_test,9.0,1.0,1.0,3.0,48.0,1.0,3470.0,3.0,1.0,449.0,1,2.740362605801087,-0.4203781311720047
170,Pilot,d10012021,BAWYi,memory_test,10.0,0.0,1.0,9.0,32.0,1.0,1295.0,32.0,0.0,785.0,1,-1.0600087525936297,-0.02911205894542969
171,Pilot,d10012021,BAWYi,memory_test,11.0,1.0,0.0,17.0,3.0,0.0,2182.0,,,,1,0.4898438427609052,
172,Pilot,d10012021,BAWYi,memory_test,12.0,0.0,0.0,33.0,9.0,0.0,2142.0,,,,1,0.4199519557099679,
173,Pilot,d10012021,BAWYi,memory_test,13.0,1.0,0.0,42.0,23.0,0.0,1511.0,,,,1,-0.6825925625185683,
174,Pilot,d10012021,BAWYi,memory_test,14.0,1.0,1.0,49.0,17.0,1.0,2094.0,49.0,1.0,497.0,1,0.33608169124884313,-0.3644829779967797
175,Pilot,d10012021,BAWYi,memory_test,15.0,0.0,0.0,31.0,8.0,1.0,1686.0,,1.0,231.0,0,-0.37681555667071753,-0.6742352851761516
176,Pilot,d10012021,BAWYi,memory_test,16.0,1.0,1.0,7.0,59.0,0.0,2447.0,59.0,,,0,0.952877594473365,
177,Pilot,d10012021,BAWYi,memory_test,17.0,1.0,1.0,14.0,34.0,1.0,2391.0,14.0,1.0,247.0,1,0.8550289526020527,-0.6556035674510766
