,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
87,Exp1,d11042021,l6WpQ,rating,27.0,58.0,Mackc1.jpg,6.526,100.0,0.8509507315195602,0.9109950174553698
88,Exp1,d11042021,l6WpQ,rating,28.0,3.0,Fogeg1.jpg,7.566,18.0,1.3618257305268588,-1.9844155031392168
89,Exp1,d11042021,l6WpQ,rating,29.0,6.0,Wdekc1.jpg,6.83,84.0,1.0002834235370783,0.3460368670954505
90,Exp1,d11042021,l6WpQ,rating,30.0,45.0,Klia1n.jpg,2.606,70.0,-1.0746550339694882,-0.14830151446947892
91,Exp1,d11042021,l6WpQ,rating,31.0,39.0,Dekb1n.jpg,4.43,84.0,-0.17865888186438003,0.3460368670954505
92,Exp1,d11042021,l6WpQ,rating,32.0,49.0,Hinda1.jpg,2.782,100.0,-0.9881992649067145,0.9109950174553698
93,Exp1,d11042021,l6WpQ,rating,33.0,54.0,Kupka1.jpg,3.038,99.0,-0.8624454189972258,0.8756851330578749
94,Exp1,d11042021,l6WpQ,rating,34.0,18.0,Krasb1.jpg,4.03,100.0,-0.3751492660979561,0.9109950174553698
95,Exp1,d11042021,l6WpQ,rating,35.0,35.0,Wdeka1.jpg,2.59,11.0,-1.0825146493388313,-2.2315846939216817
96,Exp1,d11042021,l6WpQ,rating,36.0,53.0,Gorka1.jpg,2.566,67.0,-1.0943040723928459,-0.2542311676619638
97,Exp1,d11042021,l6WpQ,rating,37.0,52.0,Picaa1.jpg,4.022,26.0,-0.3790790737826277,-1.7019364279592573
98,Exp1,d11042021,l6WpQ,rating,38.0,7.0,Pica1n.jpg,2.814,82.0,-0.9724800341680284,0.27541709830046057
99,Exp1,d11042021,l6WpQ,rating,39.0,30.0,Lasse1.jpg,2.502,92.0,-1.125742533870218,0.6285159422754102
100,Exp1,d11042021,l6WpQ,rating,40.0,8.0,Klina1.jpg,3.102,95.0,-0.8310069575198535,0.734445595467895
101,Exp1,d11042021,l6WpQ,rating,41.0,48.0,Picb1n.jpg,3.022,100.0,-0.8703050343665688,0.9109950174553698
102,Exp1,d11042021,l6WpQ,rating,42.0,13.0,Picak1.jpg,2.734,97.0,-1.0117781110147437,0.805065364262885
103,Exp1,d11042021,l6WpQ,rating,43.0,26.0,Clib1n.jpg,5.053,73.0,0.12737489157941528,-0.04237186127699405
104,Exp1,d11042021,l6WpQ,rating,44.0,47.0,Kupkd1.jpg,6.502,86.0,0.8391613084655456,0.41665663589044044
105,Exp1,d11042021,l6WpQ,rating,45.0,11.0,Wdekb1.jpg,5.502,17.0,0.3479353478816047,-2.019725387536712
106,Exp1,d11042021,l6WpQ,rating,46.0,10.0,Stera1.jpg,4.038,95.0,-0.37121945841328463,0.734445595467895
107,Exp1,d11042021,l6WpQ,rating,47.0,51.0,Gora1n.jpg,2.494,91.0,-1.1296723415548895,0.5932060578779152
108,Exp1,d11042021,l6WpQ,rating,48.0,59.0,Kraa1n.jpg,3.198,100.0,-0.7838492653037952,0.9109950174553698
109,Exp1,d11042021,l6WpQ,rating,49.0,33.0,Kupc1n.jpg,2.542,99.0,-1.1060934954468604,0.8756851330578749
110,Exp1,d11042021,l6WpQ,rating,50.0,17.0,Picab1.jpg,3.335,93.0,-0.7165513087037952,0.6638258266729051
111,Exp1,d11042021,l6WpQ,rating,51.0,16.0,Lewa1n.jpg,3.924,84.0,-0.42721921791985407,0.3460368670954505
112,Exp1,d11042021,l6WpQ,rating,52.0,21.0,Lewb1n.jpg,3.446,100.0,-0.6620252270789777,0.9109950174553698
113,Exp1,d11042021,l6WpQ,rating,53.0,27.0,Vinb1n.jpg,2.989,90.0,-0.8865154910658388,0.5578961734804203
114,Exp1,d11042021,l6WpQ,rating,54.0,31.0,Maca1n.jpg,3.526,85.0,-0.6227271502322625,0.38134675149294545
115,Exp1,d11042021,l6WpQ,rating,55.0,43.0,Picac1.jpg,2.302,94.0,-1.2239877259870062,0.6991357110704001
116,Exp1,d11042021,l6WpQ,rating,56.0,19.0,Macc1n.jpg,2.71,94.0,-1.0235675340687582,0.6991357110704001
