,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
124,Pilot,d10012021,A26v1,reward_learning,1.0,28.0,32.0,-1.0,0.0,469.0,-0.5995522117921932,-1.0,581.0,-0.3643000390737856,1
125,Pilot,d10012021,A26v1,reward_learning,1.0,29.0,12.0,-1.0,0.0,327.0,-1.527785687221061,-1.0,761.0,0.3608228416341338,1
126,Pilot,d10012021,A26v1,reward_learning,1.0,30.0,43.0,-1.0,0.0,669.0,0.7078188803611413,-1.0,591.0,-0.3240154345900123,1
127,Pilot,d10012021,A26v1,reward_learning,1.0,31.0,6.0,1.0,151.0,660.0,0.6489871812142411,1.0,952.0,1.1302587872742038,1
128,Pilot,d10012021,A26v1,reward_learning,2.0,32.0,3.0,1.0,148.0,627.0,0.433270951008941,1.0,784.0,0.4534774319468124,1
129,Pilot,d10012021,A26v1,reward_learning,2.0,33.0,15.0,1.0,155.0,560.0,-0.004698364862426,1.0,399.0,-1.0974798406784596,1
130,Pilot,d10012021,A26v1,reward_learning,2.0,34.0,32.0,-1.0,0.0,406.0,-1.0113741058204937,-1.0,632.0,-0.1588485562065417,1
131,Pilot,d10012021,A26v1,reward_learning,2.0,35.0,27.0,1.0,153.0,346.0,-1.403585433466494,1.0,864.0,0.7757542678169989,1
132,Pilot,d10012021,A26v1,reward_learning,2.0,36.0,25.0,1.0,141.0,447.0,-0.7433630319290601,1.0,823.0,0.6105873894335283,1
133,Pilot,d10012021,A26v1,reward_learning,2.0,37.0,48.0,-1.0,0.0,683.0,0.7993348568118747,-1.0,643.0,-0.1145354912743911,1
134,Pilot,d10012021,A26v1,reward_learning,2.0,38.0,25.0,1.0,141.0,690.0,0.8450928450372414,1.0,601.0,-0.283730830106239,1
135,Pilot,d10012021,A26v1,reward_learning,2.0,39.0,29.0,-1.0,0.0,316.0,-1.5996910972894942,-1.0,600.0,-0.2877592905546163,1
136,Pilot,d10012021,A26v1,reward_learning,2.0,40.0,43.0,-1.0,0.0,538.0,-0.1485091849992928,-1.0,984.0,1.2591695216222785,1
137,Pilot,d10012021,A26v1,reward_learning,2.0,41.0,50.0,-1.0,0.0,526.0,-0.2269514505284929,-1.0,350.0,-1.294874402648949,1
138,Pilot,d10012021,A26v1,reward_learning,2.0,42.0,4.0,1.0,150.0,325.0,-1.540859398142594,1.0,731.0,0.2399690281828139,1
139,Pilot,d10012021,A26v1,reward_learning,2.0,43.0,3.0,1.0,148.0,697.0,0.890850833262608,1.0,480.0,-0.771174544359896,1
140,Pilot,d10012021,A26v1,reward_learning,2.0,44.0,50.0,-1.0,0.0,345.0,-1.4101222889272609,-1.0,622.0,-0.1991331606903151,1
141,Pilot,d10012021,A26v1,reward_learning,2.0,45.0,43.0,-1.0,0.0,598.0,0.2437021426467075,-1.0,530.0,-0.5697515219410294,1
142,Pilot,d10012021,A26v1,reward_learning,2.0,46.0,6.0,1.0,151.0,729.0,1.1000302080071416,1.0,802.0,0.5259897200176044,1
143,Pilot,d10012021,A26v1,reward_learning,2.0,47.0,6.0,1.0,151.0,556.0,-0.0308457867054927,1.0,732.0,0.2439974886311912,1
144,Pilot,d10012021,A26v1,reward_learning,2.0,48.0,40.0,1.0,145.0,456.0,-0.6845313327821599,1.0,500.0,-0.6906053353923494,1
145,Pilot,d10012021,A26v1,reward_learning,2.0,49.0,4.0,1.0,150.0,364.0,-1.285922035172694,1.0,1508.0,3.3700827965719995,1
146,Pilot,d10012021,A26v1,reward_learning,2.0,50.0,12.0,-1.0,0.0,458.0,-0.6714576218606266,-1.0,531.0,-0.5657230614926522,1
147,Pilot,d10012021,A26v1,reward_learning,2.0,51.0,12.0,-1.0,0.0,627.0,0.433270951008941,-1.0,319.0,-1.4197566765486462,1
148,Pilot,d10012021,A26v1,reward_learning,2.0,52.0,27.0,1.0,153.0,547.0,-0.0896774858523927,1.0,1537.0,3.486908149574942,1
149,Pilot,d10012021,A26v1,reward_learning,2.0,53.0,2.0,1.0,156.0,385.0,-1.1486480704965938,1.0,390.0,-1.1337359847138555,1
150,Pilot,d10012021,A26v1,reward_learning,2.0,54.0,7.0,-1.0,0.0,366.0,-1.2728483242511606,-1.0,530.0,-0.5697515219410294,1
151,Pilot,d10012021,A26v1,reward_learning,2.0,55.0,52.0,-1.0,0.0,840.0,1.8256211641522424,-1.0,632.0,-0.1588485562065417,1
152,Pilot,d10012021,A26v1,reward_learning,2.0,56.0,32.0,-1.0,0.0,558.0,-0.0177720757839593,-1.0,349.0,-1.2989028630973265,1
153,Pilot,d10012021,A26v1,reward_learning,2.0,57.0,7.0,-1.0,0.0,478.0,-0.5407205126452932,-1.0,288.0,-1.544638950448343,1
154,Pilot,d10012021,A26v1,reward_learning,2.0,58.0,48.0,-1.0,0.0,406.0,-1.0113741058204937,-1.0,319.0,-1.4197566765486462,1
155,Pilot,d10012021,A26v1,reward_learning,2.0,59.0,15.0,1.0,155.0,456.0,-0.6845313327821599,1.0,481.0,-0.7671460839115186,1
156,Pilot,d10012021,A26v1,reward_learning,2.0,60.0,52.0,-1.0,0.0,589.0,0.1848704434998074,-1.0,278.0,-1.5849235549321166,1
157,Pilot,d10012021,A26v1,reward_learning,2.0,61.0,29.0,-1.0,0.0,384.0,-1.1551849259573603,-1.0,380.0,-1.174020589197629,1
158,Pilot,d10012021,A26v1,reward_learning,2.0,62.0,40.0,1.0,145.0,578.0,0.112965033431374,-1.0,240.0,-1.7380050519704553,0
159,Pilot,d10012021,A26v1,reward_learning,2.0,63.0,2.0,1.0,156.0,539.0,-0.1419723295385261,1.0,661.0,-0.0420232032035991,1
160,Pilot,d10012021,A26v1,reward_learning,3.0,64.0,43.0,-1.0,0.0,466.0,-0.6191627781744933,-1.0,672.0,0.0022898617285514,1
161,Pilot,d10012021,A26v1,reward_learning,3.0,65.0,2.0,1.0,156.0,415.0,-0.9525424066735936,1.0,642.0,-0.1185639517227684,1
162,Pilot,d10012021,A26v1,reward_learning,3.0,66.0,48.0,-1.0,0.0,317.0,-1.5931542418287274,-1.0,630.0,-0.1669054771032964,1
163,Pilot,d10012021,A26v1,reward_learning,3.0,67.0,7.0,-1.0,0.0,414.0,-0.9590792621343602,-1.0,631.0,-0.1628770166549191,1
164,Pilot,d10012021,A26v1,reward_learning,3.0,68.0,3.0,1.0,148.0,920.0,2.348569601013576,1.0,490.0,-0.7308899398761226,1
165,Pilot,d10012021,A26v1,reward_learning,3.0,69.0,3.0,1.0,148.0,637.0,0.4986395056166077,1.0,631.0,-0.1628770166549191,1
166,Pilot,d10012021,A26v1,reward_learning,3.0,70.0,6.0,1.0,151.0,667.0,0.6947451694396078,1.0,662.0,-0.0379947427552218,1
167,Pilot,d10012021,A26v1,reward_learning,3.0,71.0,4.0,1.0,150.0,506.0,-0.3576885597438263,1.0,530.0,-0.5697515219410294,1
168,Pilot,d10012021,A26v1,reward_learning,3.0,72.0,52.0,-1.0,0.0,327.0,-1.527785687221061,-1.0,771.0,0.4011074461179071,1
169,Pilot,d10012021,A26v1,reward_learning,3.0,73.0,40.0,1.0,145.0,314.0,-1.6127648082110275,1.0,723.0,0.2077413445957952,1
170,Pilot,d10012021,A26v1,reward_learning,3.0,74.0,7.0,-1.0,0.0,548.0,-0.0831406303916261,-1.0,722.0,0.2037128841474179,1
171,Pilot,d10012021,A26v1,reward_learning,3.0,75.0,12.0,-1.0,0.0,465.0,-0.6256996336352599,-1.0,913.0,0.973148829787488,1
172,Pilot,d10012021,A26v1,reward_learning,3.0,76.0,29.0,-1.0,0.0,536.0,-0.1615828959208261,-1.0,964.0,1.1786003126547318,1
173,Pilot,d10012021,A26v1,reward_learning,3.0,77.0,48.0,-1.0,0.0,527.0,-0.2204145950677262,-1.0,661.0,-0.0420232032035991,1
174,Pilot,d10012021,A26v1,reward_learning,3.0,78.0,6.0,1.0,151.0,437.0,-0.8087315865367267,1.0,582.0,-0.3602715786254082,1
175,Pilot,d10012021,A26v1,reward_learning,3.0,79.0,32.0,-1.0,0.0,561.0,0.0018384905983406,-1.0,611.0,-0.2434462256224657,1
176,Pilot,d10012021,A26v1,reward_learning,3.0,80.0,15.0,1.0,155.0,426.0,-0.8806369966051601,1.0,582.0,-0.3602715786254082,1
177,Pilot,d10012021,A26v1,reward_learning,3.0,81.0,32.0,-1.0,0.0,257.0,-1.985365569474728,-1.0,521.0,-0.6060076659764254,1
