,Exp,group,PID,phase,trial,condition,stimulus_id,painting,rating,is_chosen,outcome,is_novel,stim_type,outcome_eval_gain,outcome_eval_acc,outcome_eval_rt,zscored_outcome_eval_rt,outcome_eval_confidence,outcome_eval_confidence_rt,zscored_outcome_eval_confidence_rt
33,Exp1,d11032021,ZGrrY,outcome_evaluation,33.0,1.0,40.0,Krab1n.jpg,38.0,,-1.0,1.0,novel,1.0,0.0,1532.0,-0.250120429526695,2.0,2075.0,0.3114325987757343
34,Exp1,d11032021,ZGrrY,outcome_evaluation,34.0,0.0,12.0,Kupkc1.jpg,17.0,1.0,-1.0,0.0,chosen,0.0,1.0,1626.0,-0.0804248656471617,6.0,1520.0,-0.9815922175364604
35,Exp1,d11032021,ZGrrY,outcome_evaluation,35.0,1.0,22.0,Macb1n.jpg,59.0,0.0,1.0,0.0,unchosen,1.0,1.0,1495.0,-0.3169154919048091,3.0,2105.0,0.381325832089907
36,Exp1,d11032021,ZGrrY,outcome_evaluation,36.0,0.0,23.0,Lewib1.jpg,35.0,1.0,1.0,0.0,chosen,1.0,1.0,1074.0,-1.0769349854503785,6.0,1571.0,-0.8627737209023668
37,Exp1,d11032021,ZGrrY,outcome_evaluation,37.0,1.0,16.0,Lewa1n.jpg,32.0,0.0,1.0,0.0,unchosen,1.0,1.0,1464.0,-0.3728789225459318,5.0,1550.0,-0.9116989842222876
38,Exp1,d11032021,ZGrrY,outcome_evaluation,38.0,1.0,18.0,Krasb1.jpg,64.0,1.0,-1.0,0.0,chosen,1.0,0.0,2103.0,0.7806898574436615,4.0,1920.0,-0.0496824400141578
39,Exp1,d11032021,ZGrrY,outcome_evaluation,39.0,1.0,50.0,Gorke1.jpg,37.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1356.0,-0.5678482938117786,2.0,1765.0,-0.41079747880405
40,Exp1,d11042021,l6WpQ,outcome_evaluation,0.0,1.0,31.0,Maca1n.jpg,85.0,,1.0,1.0,novel,1.0,1.0,3748.0,2.831026955530981,1.0,3929.0,3.5753700732412086
41,Exp1,d11042021,l6WpQ,outcome_evaluation,1.0,0.0,55.0,Lewic1.jpg,85.0,1.0,-1.0,0.0,chosen,0.0,1.0,3092.0,1.9755899758772169,5.0,2683.0,1.464262911086203
42,Exp1,d11042021,l6WpQ,outcome_evaluation,2.0,1.0,17.0,Picab1.jpg,93.0,,1.0,1.0,novel,1.0,1.0,3184.0,2.0955597961945127,1.0,2501.0,1.155898943580416
43,Exp1,d11042021,l6WpQ,outcome_evaluation,3.0,0.0,0.0,Gorkc1.jpg,95.0,1.0,1.0,0.0,chosen,1.0,1.0,1929.0,0.4590149646922641,3.0,1976.0,0.2663874988521834
44,Exp1,d11042021,l6WpQ,outcome_evaluation,4.0,1.0,14.0,Kupkb1.jpg,76.0,0.0,1.0,0.0,unchosen,0.0,0.0,1078.0,-0.6507058732427268,2.0,2237.0,0.7086017599456477
45,Exp1,d11042021,l6WpQ,outcome_evaluation,5.0,0.0,43.0,Picac1.jpg,94.0,1.0,1.0,0.0,chosen,0.0,0.0,1795.0,0.28427631336055,4.0,2172.0,0.5984717715507236
46,Exp1,d11042021,l6WpQ,outcome_evaluation,6.0,1.0,12.0,Kupkc1.jpg,31.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1948.0,0.4837913406273579,3.0,1503.0,-0.5350199551601099
47,Exp1,d11042021,l6WpQ,outcome_evaluation,7.0,0.0,7.0,Pica1n.jpg,82.0,0.0,1.0,0.0,unchosen,1.0,1.0,1967.0,0.5085677165624518,3.0,1280.0,-0.9128505307303878
48,Exp1,d11042021,l6WpQ,outcome_evaluation,8.0,0.0,6.0,Wdekc1.jpg,84.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1378.0,-0.2594999374254562,2.0,2547.0,1.233837089213747
49,Exp1,d11042021,l6WpQ,outcome_evaluation,9.0,1.0,46.0,Deka1n.jpg,85.0,0.0,1.0,0.0,unchosen,0.0,0.0,1229.0,-0.4537988855480339,3.0,1274.0,-0.9230163758129962
50,Exp1,d11042021,l6WpQ,outcome_evaluation,10.0,1.0,1.0,Lewia1.jpg,94.0,1.0,-1.0,0.0,chosen,0.0,1.0,2151.0,0.7485073571970444,2.0,1881.0,0.1054282850442175
51,Exp1,d11042021,l6WpQ,outcome_evaluation,11.0,1.0,10.0,Stera1.jpg,95.0,1.0,1.0,0.0,chosen,1.0,1.0,826.0,-0.979318859329234,2.0,1329.0,-0.8298294625557527
52,Exp1,d11042021,l6WpQ,outcome_evaluation,12.0,0.0,30.0,Lasse1.jpg,92.0,1.0,1.0,0.0,chosen,1.0,1.0,893.0,-0.8919495336633769,6.0,1970.0,0.256221653769575
53,Exp1,d11042021,l6WpQ,outcome_evaluation,13.0,1.0,27.0,Vinb1n.jpg,90.0,,-1.0,1.0,novel,1.0,0.0,2093.0,0.6728742096057054,2.0,1323.0,-0.8399953076383612
54,Exp1,d11042021,l6WpQ,outcome_evaluation,14.0,0.0,50.0,Gorke1.jpg,79.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1828.0,0.3273089663004497,2.0,1382.0,-0.7400311643260454
55,Exp1,d11042021,l6WpQ,outcome_evaluation,15.0,0.0,40.0,Krab1n.jpg,95.0,1.0,-1.0,0.0,chosen,0.0,1.0,1306.0,-0.3533893620216011,3.0,1313.0,-0.8569383827760417
56,Exp1,d11042021,l6WpQ,outcome_evaluation,16.0,1.0,22.0,Macb1n.jpg,86.0,,1.0,1.0,novel,1.0,1.0,1236.0,-0.4446707470456309,2.0,1290.0,-0.8959074555927072
57,Exp1,d11042021,l6WpQ,outcome_evaluation,17.0,0.0,39.0,Dekb1n.jpg,84.0,0.0,1.0,0.0,unchosen,1.0,1.0,1301.0,-0.3599094609518889,1.0,2252.0,0.7340163726521686
58,Exp1,d11042021,l6WpQ,outcome_evaluation,18.0,0.0,25.0,Clifa1.jpg,33.0,0.0,1.0,0.0,unchosen,0.0,0.0,1386.0,-0.2490677791369956,1.0,1513.0,-0.5180768800224294
59,Exp1,d11042021,l6WpQ,outcome_evaluation,19.0,1.0,29.0,Clifb1.jpg,38.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1260.0,-0.4133742721802492,2.0,1636.0,-0.3096770558289577
60,Exp1,d11042021,l6WpQ,outcome_evaluation,20.0,0.0,51.0,Gora1n.jpg,91.0,0.0,1.0,0.0,unchosen,0.0,0.0,1024.0,-0.7211229416898355,1.0,1583.0,-0.399475354058665
61,Exp1,d11042021,l6WpQ,outcome_evaluation,21.0,1.0,23.0,Lewib1.jpg,88.0,1.0,-1.0,0.0,chosen,0.0,1.0,1577.0,0.0,3.0,2791.0,1.647248122573154
62,Exp1,d11042021,l6WpQ,outcome_evaluation,22.0,0.0,32.0,Macka1.jpg,89.0,1.0,1.0,0.0,chosen,1.0,1.0,994.0,-0.7602435352715625,6.0,2222.0,0.6831871472391267
63,Exp1,d11042021,l6WpQ,outcome_evaluation,23.0,1.0,19.0,Macc1n.jpg,94.0,1.0,-1.0,0.0,chosen,0.0,1.0,1191.0,-0.5033516374182215,6.0,1656.0,-0.2757909055535965
64,Exp1,d11042021,l6WpQ,outcome_evaluation,24.0,1.0,36.0,Gorkf1.jpg,80.0,1.0,-1.0,0.0,chosen,0.0,1.0,1215.0,-0.4720551625528398,2.0,1392.0,-0.7230880891883649
65,Exp1,d11042021,l6WpQ,outcome_evaluation,25.0,0.0,42.0,Picc1n.jpg,78.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1241.0,-0.4381506481153431,4.0,1732.0,-0.1470235345072237
66,Exp1,d11042021,l6WpQ,outcome_evaluation,26.0,0.0,47.0,Kupkd1.jpg,86.0,1.0,-1.0,0.0,chosen,0.0,1.0,957.0,-0.8084922673556926,2.0,1636.0,-0.3096770558289577
67,Exp1,d11042021,l6WpQ,outcome_evaluation,27.0,1.0,8.0,Klina1.jpg,95.0,,-1.0,1.0,novel,0.0,1.0,1546.0,-0.0404246133677846,3.0,1140.0,-1.1500535826579166
68,Exp1,d11042021,l6WpQ,outcome_evaluation,28.0,1.0,56.0,Luisc1.jpg,83.0,1.0,1.0,0.0,chosen,1.0,1.0,4118.0,3.313514276372282,3.0,1903.0,0.1427030503471149
69,Exp1,d11042021,l6WpQ,outcome_evaluation,29.0,1.0,28.0,Krasa1.jpg,89.0,,-1.0,1.0,novel,0.0,1.0,979.0,-0.7798038320624261,2.0,1775.0,-0.074168311415197
70,Exp1,d11042021,l6WpQ,outcome_evaluation,30.0,1.0,53.0,Gorka1.jpg,67.0,,1.0,1.0,novel,0.0,0.0,1062.0,-0.6715701898196479,2.0,1664.0,-0.262236445443452
71,Exp1,d11042021,l6WpQ,outcome_evaluation,31.0,1.0,24.0,Dekoa1.jpg,74.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1264.0,-0.4081581930360189,2.0,1203.0,-1.0433122092905287
72,Exp1,d11042021,l6WpQ,outcome_evaluation,32.0,1.0,26.0,Clib1n.jpg,73.0,0.0,-1.0,0.0,unchosen,0.0,1.0,853.0,-0.9441103251056796,3.0,1760.0,-0.099582924121718
73,Exp1,d11042021,l6WpQ,outcome_evaluation,33.0,1.0,34.0,Monb1n.jpg,74.0,0.0,1.0,0.0,unchosen,0.0,0.0,654.0,-1.2036102625311358,1.0,1479.0,-0.5756833354905434
74,Exp1,d11042021,l6WpQ,outcome_evaluation,34.0,0.0,45.0,Klia1n.jpg,70.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1239.0,-0.4407586876874582,3.0,2048.0,0.3883776398434839
75,Exp1,d11042021,l6WpQ,outcome_evaluation,35.0,1.0,20.0,Gorc1n.jpg,87.0,1.0,1.0,0.0,chosen,1.0,1.0,1656.0,0.1030175630985479,2.0,2294.0,0.8051772882304271
76,Exp1,d11042021,l6WpQ,outcome_evaluation,36.0,1.0,9.0,Lassc1.jpg,80.0,0.0,1.0,0.0,unchosen,0.0,0.0,1612.0,0.0456406925120149,1.0,1533.0,-0.4841907297470681
77,Exp1,d11042021,l6WpQ,outcome_evaluation,37.0,1.0,57.0,Lewc1n.jpg,83.0,1.0,1.0,0.0,chosen,1.0,1.0,1778.0,0.2621079769975713,3.0,1091.0,-1.2330746508325516
78,Exp1,d11042021,l6WpQ,outcome_evaluation,38.0,1.0,16.0,Lewa1n.jpg,84.0,,-1.0,1.0,novel,1.0,0.0,1348.0,-0.2986205310071832,3.0,1061.0,-1.2839038762455934
79,Exp1,d11042021,l6WpQ,outcome_evaluation,39.0,0.0,38.0,Lasc1n.jpg,94.0,1.0,-1.0,0.0,chosen,0.0,1.0,1144.0,-0.5646405673629272,5.0,2797.0,1.6574139676557624
80,Exp1,d11032021,GCq3m,outcome_evaluation,0.0,1.0,28.0,Krasa1.jpg,8.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1286.0,-0.4224689549365577,2.0,3560.0,1.2711671432849276
81,Exp1,d11032021,GCq3m,outcome_evaluation,1.0,1.0,12.0,Kupkc1.jpg,10.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1596.0,0.7597957801601046,4.0,2620.0,-0.3651178477288785
82,Exp1,d11032021,GCq3m,outcome_evaluation,2.0,1.0,23.0,Lewib1.jpg,6.0,,-1.0,1.0,novel,0.0,1.0,1319.0,-0.296614967006913,5.0,5153.0,4.044147984439175
83,Exp1,d11032021,GCq3m,outcome_evaluation,3.0,0.0,51.0,Gora1n.jpg,6.0,0.0,1.0,0.0,unchosen,0.0,0.0,1342.0,-0.2088985511771606,5.0,2538.0,-0.5078576022641255
84,Exp1,d11032021,GCq3m,outcome_evaluation,4.0,0.0,3.0,Fogeg1.jpg,18.0,1.0,1.0,0.0,chosen,1.0,1.0,1041.0,-1.3568394713839198,6.0,2536.0,-0.5113390596918144
85,Exp1,d11032021,GCq3m,outcome_evaluation,5.0,1.0,0.0,Gorkc1.jpg,7.0,,1.0,1.0,novel,1.0,1.0,1851.0,1.732303868707359,4.0,2507.0,-0.5618201923933042
86,Exp1,d11032021,GCq3m,outcome_evaluation,6.0,0.0,35.0,Wdeka1.jpg,5.0,1.0,-1.0,0.0,chosen,1.0,0.0,981.0,-1.5856649039832738,6.0,2523.0,-0.5339685329717926
87,Exp1,d11032021,GCq3m,outcome_evaluation,7.0,0.0,14.0,Kupkb1.jpg,13.0,1.0,1.0,0.0,chosen,1.0,1.0,1185.0,-0.8076584331454703,6.0,2428.0,-0.6993377607870177
88,Exp1,d11032021,GCq3m,outcome_evaluation,8.0,0.0,46.0,Deka1n.jpg,19.0,1.0,1.0,0.0,chosen,1.0,1.0,1062.0,-1.276750569974146,6.0,3455.0,1.0883906283312577
89,Exp1,d11032021,GCq3m,outcome_evaluation,9.0,1.0,13.0,Picak1.jpg,7.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1182.0,-0.8190997047754379,3.0,4126.0,2.2564195953209003
90,Exp1,d11032021,GCq3m,outcome_evaluation,10.0,0.0,4.0,Mackb1.jpg,5.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1523.0,0.4813915038308906,4.0,3118.0,0.5017650517656698
91,Exp1,d11032021,GCq3m,outcome_evaluation,11.0,1.0,27.0,Vinb1n.jpg,6.0,1.0,-1.0,0.0,chosen,0.0,1.0,1356.0,-0.1555059502373113,3.0,2341.0,-0.850781158891487
92,Exp1,d11032021,GCq3m,outcome_evaluation,12.0,0.0,25.0,Clifa1.jpg,8.0,0.0,1.0,0.0,unchosen,0.0,0.0,1249.0,-0.5635779717061593,2.0,2493.0,-0.5861903943871268
93,Exp1,d11032021,GCq3m,outcome_evaluation,13.0,1.0,56.0,Luisc1.jpg,14.0,1.0,-1.0,0.0,chosen,0.0,1.0,2254.0,3.26924802433302,6.0,3330.0,0.8707995391006984
94,Exp1,d11032021,GCq3m,outcome_evaluation,14.0,0.0,41.0,Vincb1.jpg,10.0,1.0,-1.0,0.0,chosen,1.0,0.0,1501.0,0.3974888452111275,6.0,3109.0,0.4860984933410695
95,Exp1,d11032021,GCq3m,outcome_evaluation,15.0,1.0,32.0,Macka1.jpg,12.0,,-1.0,1.0,novel,1.0,0.0,1535.0,0.5271565903507615,5.0,2935.0,0.1832116971321309
96,Exp1,d11032021,GCq3m,outcome_evaluation,16.0,1.0,42.0,Picc1n.jpg,5.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1285.0,-0.4262827121465469,4.0,2493.0,-0.5861903943871268
97,Exp1,d11032021,GCq3m,outcome_evaluation,17.0,1.0,33.0,Kupc1n.jpg,8.0,1.0,-1.0,0.0,chosen,1.0,0.0,1222.0,-0.6665494163758686,5.0,2159.0,-1.1675937848111813
98,Exp1,d11032021,GCq3m,outcome_evaluation,18.0,0.0,34.0,Monb1n.jpg,11.0,1.0,1.0,0.0,chosen,1.0,1.0,1880.0,1.842902827797047,5.0,3135.0,0.5313574399010259
99,Exp1,d11032021,GCq3m,outcome_evaluation,19.0,1.0,59.0,Kraa1n.jpg,12.0,1.0,-1.0,0.0,chosen,1.0,0.0,1272.0,-0.4758615558764069,5.0,2557.0,-0.4747837567010804
100,Exp1,d11032021,GCq3m,outcome_evaluation,20.0,1.0,22.0,Macb1n.jpg,10.0,0.0,1.0,0.0,unchosen,0.0,0.0,1255.0,-0.5406954284462239,3.0,2587.0,-0.4225618952857461
101,Exp1,d11032021,GCq3m,outcome_evaluation,21.0,1.0,17.0,Picab1.jpg,14.0,1.0,1.0,0.0,chosen,1.0,1.0,1311.0,-0.3271250246868268,5.0,2740.0,-0.1562304020675416
102,Exp1,d11032021,GCq3m,outcome_evaluation,22.0,0.0,53.0,Gorka1.jpg,8.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1271.0,-0.4796753130863961,3.0,2885.0,0.0961752614399072
103,Exp1,d11032021,GCq3m,outcome_evaluation,23.0,1.0,10.0,Stera1.jpg,8.0,1.0,1.0,0.0,chosen,1.0,1.0,1252.0,-0.5521367000761916,5.0,2528.0,-0.5252648894025702
104,Exp1,d11032021,GCq3m,outcome_evaluation,24.0,1.0,11.0,Wdekb1.jpg,10.0,0.0,1.0,0.0,unchosen,0.0,0.0,1385.0,-0.0449069911476235,3.0,2425.0,-0.7045599469285511
105,Exp1,d11032021,GCq3m,outcome_evaluation,25.0,0.0,47.0,Kupkd1.jpg,12.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1573.0,0.6720793643303523,5.0,2389.0,-0.7672261806269521
106,Exp1,d11032021,GCq3m,outcome_evaluation,26.0,0.0,48.0,Picb1n.jpg,10.0,0.0,1.0,0.0,unchosen,1.0,1.0,1291.0,-0.4034001688866115,5.0,2700.0,-0.2258595506213205
107,Exp1,d11032021,GCq3m,outcome_evaluation,27.0,1.0,45.0,Klia1n.jpg,11.0,,1.0,1.0,novel,0.0,0.0,1626.0,0.8742084964597817,4.0,3204.0,0.6514677211562946
108,Exp1,d11032021,GCq3m,outcome_evaluation,28.0,0.0,1.0,Lewia1.jpg,9.0,1.0,-1.0,0.0,chosen,0.0,1.0,1506.0,0.4165576312610736,5.0,2277.0,-0.9621877965775332
109,Exp1,d11032021,GCq3m,outcome_evaluation,29.0,1.0,44.0,Lassf1.jpg,11.0,,1.0,1.0,novel,1.0,1.0,1121.0,-1.0517388945847812,5.0,2749.0,-0.1405638436429413
110,Exp1,d11032021,GCq3m,outcome_evaluation,30.0,1.0,43.0,Picac1.jpg,14.0,0.0,1.0,0.0,unchosen,0.0,0.0,1632.0,0.897091039719717,4.0,2621.0,-0.363377119015034
111,Exp1,d11032021,GCq3m,outcome_evaluation,31.0,1.0,21.0,Lewb1n.jpg,8.0,0.0,1.0,0.0,unchosen,0.0,0.0,1265.0,-0.5025578563463315,3.0,2858.0,0.0491755861661064
112,Exp1,d11032021,GCq3m,outcome_evaluation,32.0,1.0,26.0,Clib1n.jpg,12.0,1.0,1.0,0.0,chosen,1.0,1.0,1182.0,-0.8190997047754379,5.0,3940.0,1.932644054545828
113,Exp1,d11032021,GCq3m,outcome_evaluation,33.0,1.0,8.0,Klina1.jpg,9.0,,-1.0,1.0,novel,0.0,1.0,1364.0,-0.1249958925573974,4.0,2484.0,-0.6018569528117271
114,Exp1,d11032021,GCq3m,outcome_evaluation,34.0,1.0,29.0,Clifb1.jpg,14.0,,-1.0,1.0,novel,0.0,1.0,1407.0,0.0389956674721395,3.0,2617.0,-0.370340033870412
115,Exp1,d11032021,GCq3m,outcome_evaluation,35.0,0.0,40.0,Krab1n.jpg,5.0,0.0,1.0,0.0,unchosen,0.0,0.0,1472.0,0.2868898861214397,4.0,2755.0,-0.1301194713598744
116,Exp1,d11032021,GCq3m,outcome_evaluation,36.0,1.0,50.0,Gorke1.jpg,8.0,1.0,1.0,0.0,chosen,1.0,1.0,1637.0,0.9161598257696631,5.0,2558.0,-0.4730430279872359
117,Exp1,d11032021,GCq3m,outcome_evaluation,37.0,0.0,5.0,Kupb1n.jpg,15.0,1.0,-1.0,0.0,chosen,0.0,1.0,1956.0,2.1327483757562287,4.0,2328.0,-0.8734106321714651
118,Exp1,d11032021,GCq3m,outcome_evaluation,38.0,1.0,6.0,Wdekc1.jpg,5.0,,1.0,1.0,novel,0.0,0.0,1294.0,-0.3919588972566438,4.0,2729.0,-0.1753784179198308
119,Exp1,d11032021,GCq3m,outcome_evaluation,39.0,0.0,36.0,Gorkf1.jpg,7.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1149.0,-0.9449536927050828,4.0,2700.0,-0.2258595506213205
120,Exp1,d11032021,qBGkp,outcome_evaluation,0.0,1.0,8.0,Klina1.jpg,2.0,1.0,-1.0,0.0,chosen,0.0,1.0,2411.0,1.51726414524819,1.0,3718.0,0.3611516615432774
121,Exp1,d11032021,qBGkp,outcome_evaluation,1.0,1.0,20.0,Gorc1n.jpg,1.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1466.0,0.1657881999556013,1.0,2080.0,-0.1130593820510939
