"","PID","chosen_obj","Exp","condition","reward_type","unchosen_obj","rating_chosen","rating_unchosen","zscored_rating_chosen","zscored_rating_unchosen","reward","memory_score_chosen","memory_score_unchosen"
"761","A7iWj",44,"Exp1",0,0,57,75,43,0.895410904309484,-0.50915522009755,0,0.5,0.5
"762","A7iWj",48,"Exp1",0,0,46,66,56,0.500376681820006,0.0614497679428076,0,0.5,1
"763","A7iWj",49,"Exp1",0,0,16,57,38,0.105342459330527,-0.728618677036149,0,1,1
"764","A7iWj",5,"Exp1",1,1,17,72,73,0.763732830146324,0.807625521534044,144,0.5,0
"765","A7iWj",52,"Exp1",1,1,9,59,30,0.193127842105967,-1.07976020813791,148,0,0.5
"766","A7iWj",59,"Exp1",1,0,54,40,44,-0.640833294260709,-0.46526252870983,0,0,0.5
"767","A7iWj",7,"Exp1",1,1,18,71,63,0.719840138758605,0.368698607656846,145,0.5,1
"768","A7iWj",8,"Exp1",1,0,26,54,63,-0.0263356148326319,0.368698607656846,0,1,0.5
"769","A8WPp",12,"Exp1",1,0,2,75,18,1.08428600104058,-0.768916459508536,0,0.5,0
"770","A8WPp",22,"Exp1",1,0,8,26,43,-0.508817868554274,0.0438916372235317,0,1,1
"771","A8WPp",23,"Exp1",0,0,19,58,63,0.531576495262773,0.694138114609186,0,0,0.5
"772","A8WPp",25,"Exp1",0,1,27,63,73,0.694138114609186,1.01926135330201,142,0.5,0.5
"773","A8WPp",28,"Exp1",1,0,7,21,29,-0.671379487900688,-0.411280896946426,0,0,0
"774","A8WPp",31,"Exp1",1,1,4,55,62,0.434039523654924,0.661625790739903,146,1,1
"775","A8WPp",34,"Exp1",0,0,54,18,22,-0.768916459508536,-0.638867164031405,0,1,0.5
"776","A8WPp",40,"Exp1",0,0,24,16,54,-0.833941107247102,0.401527199785642,0,1,0.5
"777","A8WPp",41,"Exp1",0,1,30,26,31,-0.508817868554274,-0.346256249207861,153,0.5,0.5
"778","A8WPp",42,"Exp1",0,1,17,15,33,-0.866453431116384,-0.281231601469295,158,1,1
"779","A8WPp",45,"Exp1",1,0,46,71,59,0.954236705563448,0.564088819132055,0,0.5,0.5
"780","A8WPp",47,"Exp1",0,1,52,62,12,0.661625790739903,-0.963990402724232,155,1,1
"781","A8WPp",48,"Exp1",1,1,44,59,60,0.564088819132055,0.596601143001338,150,0,0.5
"782","A8WPp",50,"Exp1",1,1,38,30,8,-0.378768573077144,-1.09403969820136,159,1,1
"783","A8WPp",53,"Exp1",0,0,51,47,17,0.173940932700662,-0.801428783377819,0,0.5,1
"784","A8WPp",55,"Exp1",1,1,59,18,24,-0.768916459508536,-0.57384251629284,150,0.5,0.5
"785","Am7dh",13,"Exp1",0,1,11,100,65,0.874860510203189,-0.0092622383178391,160,0.5,0.5
